,secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID,partyShortName
108,510050.XSHG,510050,华夏上证50ETF,2015-06-15,3.224,2015-06-16,4.161,CNY,4.6139,-0.086,-2.5982,-2.5967,26812,华夏基金
109,510050.XSHG,510050,华夏上证50ETF,2015-06-16,3.148,2015-06-17,4.071,CNY,4.5051,-0.076,-2.3573,-2.3581,26812,华夏基金
110,510050.XSHG,510050,华夏上证50ETF,2015-06-17,3.179,2015-06-18,4.108,CNY,4.5495,0.031,0.9848,0.9855,26812,华夏基金
111,510050.XSHG,510050,华夏上证50ETF,2015-06-18,3.038,2015-06-19,3.941,CNY,4.3477,-0.141,-4.4354,-4.4357,26812,华夏基金
112,510050.XSHG,510050,华夏上证50ETF,2015-06-19,2.879,2015-06-20,3.753,CNY,4.1201,-0.159,-5.2337,-5.235,26812,华夏基金
113,510050.XSHG,510050,华夏上证50ETF,2015-06-23,2.982,2015-06-24,3.875,CNY,4.2675,0.103,3.5776,3.5775,26812,华夏基金
114,510050.XSHG,510050,华夏上证50ETF,2015-06-24,3.024,2015-06-25,3.924,CNY,4.3276,0.042,1.4085,1.4083,26812,华夏基金
115,510050.XSHG,510050,华夏上证50ETF,2015-06-25,2.923,2015-06-26,3.805,CNY,4.1831,-0.101,-3.3399,-3.3391,26812,华夏基金
116,510050.XSHG,510050,华夏上证50ETF,2015-06-26,2.717,2015-06-27,3.561,CNY,3.8883,-0.206,-7.0476,-7.0475,26812,华夏基金
117,510050.XSHG,510050,华夏上证50ETF,2015-06-29,2.656,2015-06-30,3.489,CNY,3.801,-0.061,-2.2451,-2.2452,26812,华夏基金
118,510050.XSHG,510050,华夏上证50ETF,2015-06-30,2.847,2015-07-01,3.715,CNY,4.0743,0.191,7.1913,7.1902,26812,华夏基金
119,510050.XSHG,510050,华夏上证50ETF,2015-07-01,2.715,2015-07-02,3.559,CNY,3.8854,-0.132,-4.6365,-4.6364,26812,华夏基金
120,510050.XSHG,510050,华夏上证50ETF,2015-07-02,2.693,2015-07-03,3.533,CNY,3.8539,-0.022,-0.8103,-0.8108,26812,华夏基金
121,510050.XSHG,510050,华夏上证50ETF,2015-07-03,2.572,2015-07-04,3.389,CNY,3.6808,-0.121,-4.4931,-4.4916,26812,华夏基金
122,510050.XSHG,510050,华夏上证50ETF,2015-07-06,2.739,2015-07-07,3.587,CNY,3.9198,0.167,6.493,6.4931,26812,华夏基金
123,510050.XSHG,510050,华夏上证50ETF,2015-07-07,2.805,2015-07-08,3.665,CNY,4.0142,0.066,2.4096,2.4082,26812,华夏基金
124,510050.XSHG,510050,华夏上证50ETF,2015-07-08,2.605,2015-07-09,3.428,CNY,3.728,-0.2,-7.1301,-7.1297,26812,华夏基金
125,510050.XSHG,510050,华夏上证50ETF,2015-07-09,2.774,2015-07-10,3.628,CNY,3.9699,0.169,6.4875,6.4887,26812,华夏基金
126,510050.XSHG,510050,华夏上证50ETF,2015-07-10,2.893,2015-07-11,3.769,CNY,4.1402,0.119,4.2898,4.2897,26812,华夏基金
127,510050.XSHG,510050,华夏上证50ETF,2015-07-13,2.864,2015-07-14,3.735,CNY,4.0987,-0.029,-1.0024,-1.0024,26812,华夏基金
128,510050.XSHG,510050,华夏上证50ETF,2015-07-14,2.759,2015-07-15,3.611,CNY,3.9484,-0.105,-3.6662,-3.6671,26812,华夏基金
129,510050.XSHG,510050,华夏上证50ETF,2015-07-15,2.754,2015-07-16,3.605,CNY,3.9412,-0.005,-0.1812,-0.1824,26812,华夏基金
130,510050.XSHG,510050,华夏上证50ETF,2015-07-16,2.739,2015-07-17,3.587,CNY,3.9198,-0.015,-0.5447,-0.543,26812,华夏基金
131,510050.XSHG,510050,华夏上证50ETF,2015-07-17,2.804,2015-07-18,3.664,CNY,4.0128,0.065,2.3731,2.3725,26812,华夏基金
132,510050.XSHG,510050,华夏上证50ETF,2015-07-20,2.781,2015-07-21,3.637,CNY,3.9799,-0.023,-0.8203,-0.8199,26812,华夏基金
133,510050.XSHG,510050,华夏上证50ETF,2015-07-21,2.77,2015-07-22,3.624,CNY,3.9641,-0.011,-0.3955,-0.397,26812,华夏基金
134,510050.XSHG,510050,华夏上证50ETF,2015-07-22,2.74,2015-07-23,3.588,CNY,3.9212,-0.03,-1.083,-1.0823,26812,华夏基金
135,510050.XSHG,510050,华夏上证50ETF,2015-07-23,2.791,2015-07-24,3.649,CNY,3.9942,0.051,1.8613,1.8616,26812,华夏基金
